bioguide,nominate_dim1,name,birth_date,party,twitter,screen_name
R000576,-0.295,C. A. Dutch Ruppersberger,1946-01-31,Democratic,Call_Me_Dutch,call_me_dutch
S001168,-0.467,John P. Sarbanes,1962-05-22,Democratic,RepSarbanes,repsarbanes
H001052,0.663,Andy Harris,1957-01-25,Republican,RepAndyHarrisMD,repandyharrismd
B001304,-0.337,Anthony Brown,1961-11-21,Democratic,RepAnthonyBrown,repanthonybrown
R000606,-0.543,Jamie Raskin,1962-12-13,Democratic,repraskin,repraskin
T000483,-0.277,David J. Trone,1955-09-21,Democratic,repdavidtrone,repdavidtrone
N000015,-0.417,Richard E. Neal,1949-02-14,Democratic,RepRichardNeal,reprichardneal
L000562,-0.35,Stephen F. Lynch,1955-03-31,Democratic,RepStephenLynch,repstephenlynch
K000375,-0.328,William R. Keating,1952-09-06,Democratic,USRepKeating,usrepkeating
C001101,-0.484,Katherine M. Clark,1963-07-17,Democratic,RepKClark,repkclark
M001196,-0.284,Seth Moulton,1978-10-24,Democratic,teammoulton,teammoulton
P000617,-0.309,Ayanna Pressley,1974-02-03,Democratic,RepPressley,reppressley
T000482,-0.464,Lori Trahan,1973-10-27,Democratic,RepLoriTrahan,reploritrahan
A000148,-0.306,Jake Auchincloss,1988-01-29,Democratic,RepAuchincloss,repauchincloss
M000312,-0.539,James P. McGovern,1959-11-20,Democratic,RepMcGovern,repmcgovern
U000031,0.33,Fred Upton,1953-04-23,Republican,RepFredUpton,repfredupton
W000798,0.514,Tim Walberg,1951-04-12,Republican,RepWalberg,repwalberg
H001058,0.573,Bill Huizenga,1969-01-31,Republican,RepHuizenga,rephuizenga
K000380,-0.395,Daniel T. Kildee,1958-08-11,Democratic,RepDanKildee,repdankildee
M001194,0.398,John R. Moolenaar,1961-05-08,Republican,RepMoolenaar,repmoolenaar
D000624,-0.408,Debbie Dingell,1953-11-23,Democratic,RepDebDingell,repdebdingell
L000581,-0.448,Brenda L. Lawrence,1954-10-18,Democratic,RepLawrence,replawrence
B001301,0.438,Jack Bergman,1947-02-02,Republican,RepJackBergman,repjackbergman
L000592,-0.521,Andy Levin,1960-08-01,Democratic,RepAndyLevin,repandylevin
S001208,-0.306,Elissa Slotkin,1976-07-10,Democratic,RepSlotkin,repslotkin
S001215,-0.33,Haley M. Stevens,1983-06-24,Democratic,RepHaleyStevens,rephaleystevens
T000481,-0.25,Rashida Tlaib,1976-07-24,Democratic,RepRashida,reprashida
M001136,0.485,Lisa C. McClain,1966-04-07,Republican,RepLisaMcClain,replisamcclain
M001186,0.251,Peter Meijer,1988-01-10,Republican,RepMeijer,repmeijer
M001143,-0.417,Betty McCollum,1954-07-12,Democratic,BettyMcCollum04,bettymccollum04
E000294,0.452,Tom Emmer,1961-03-03,Republican,RepTomEmmer,reptomemmer
C001119,-0.315,Angie Craig,1972-02-14,Democratic,RepAngieCraig,repangiecraig
H001088,0.472,Jim Hagedorn,1962-08-04,Republican,RepHagedorn,rephagedorn
O000173,-0.285,Ilhan Omar,1981-10-04,Democratic,Ilhan,ilhan
P000616,-0.255,Dean Phillips,1969-01-20,Democratic,RepDeanPhillips,repdeanphillips
S001212,0.303,Pete Stauber,1966-05-10,Republican,RepPeteStauber,reppetestauber
F000470,0.515,Michelle Fischbach,1965-11-03,Republican,RepFischbach,repfischbach
P000601,0.533,Steven M. Palazzo,1970-02-21,Republican,CongPalazzo,congpalazzo
K000388,0.638,Trent Kelly,1966-03-01,Republican,reptrentkelly,reptrentkelly
G000591,0.512,Michael Guest,1970-02-04,Republican,RepMichaelGuest,repmichaelguest
T000193,-0.516,Bennie G. Thompson,1948-01-28,Democratic,BennieGThompson,benniegthompson
G000546,0.444,Sam Graves,1963-11-07,Republican,RepSamGraves,repsamgraves
C001061,-0.453,Emanuel Cleaver,1944-10-26,Democratic,RepCleaver,repcleaver
L000569,0.439,Blaine Luetkemeyer,1952-05-07,Republican,RepBlaine,repblaine
H001053,0.463,Vicky Hartzler,1960-10-13,Republican,RepHartzler,rephartzler
L000576,0.546,Billy Long,1955-08-11,Republican,USRepLong,usreplong
W000812,0.433,Ann Wagner,1962-09-13,Republican,RepAnnWagner,repannwagner
S001195,0.596,Jason Smith,1980-06-16,Republican,RepJasonSmith,repjasonsmith
B001224,-0.239,Cori Bush,1976-07-21,Democratic,RepCori,repcori
R000103,0.739,Matthew M. Rosendale,1960-07-07,Republican,RepRosendale,reprosendale
F000449,0.303,Jeff Fortenberry,1960-12-27,Republican,JeffFortenberry,jefffortenberry
S001172,0.517,Adrian Smith,1970-12-19,Republican,RepAdrianSmith,repadriansmith
B001298,0.38,Don Bacon,1963-08-16,Republican,repdonbacon,repdonbacon
T000468,-0.303,Dina Titus,1950-05-23,Democratic,RepDinaTitus,repdinatitus
A000369,0.379,Mark E. Amodei,1958-06-12,Republican,MarkAmodeiNV2,markamodeinv2
H001066,-0.351,Steven Horsford,1973-04-29,Democratic,RepHorsford,rephorsford
L000590,-0.296,Susie Lee,1966-11-07,Democratic,RepSusieLee,repsusielee
K000382,-0.256,Ann Kuster,1956-09-05,Democratic,RepAnnieKuster,repanniekuster
P000614,-0.288,Chris Pappas,1980-06-04,Democratic,RepChrisPappas,repchrispappas
S000522,0.166,Christopher H. Smith,1953-03-04,Republican,,
P000034,-0.404,"Frank Pallone, Jr.",1951-10-30,Democratic,FrankPallone,frankpallone
S001165,-0.403,Albio Sires,1951-01-26,Democratic,RepSires,repsires
N000188,-0.425,Donald Norcross,1958-12-13,Democratic,DonaldNorcross,donaldnorcross
W000822,-0.626,Bonnie Watson Coleman,1945-02-06,Democratic,RepBonnie,repbonnie
G000583,-0.148,Josh Gottheimer,1975-03-08,Democratic,RepJoshG,repjoshg
K000394,-0.285,Andy Kim,1982-07-12,Democratic,RepAndyKimNJ,repandykimnj
M001203,-0.275,Tom Malinowski,1965-09-23,Democratic,RepMalinowski,repmalinowski
S001207,-0.198,Mikie Sherrill,1972-01-19,Democratic,RepSherrill,repsherrill
P000096,-0.366,"Bill Pascrell, Jr.",1937-01-25,Democratic,BillPascrell,billpascrell
P000604,-0.518,"Donald M. Payne, Jr.",1958-12-17,Democratic,RepDonaldPayne,repdonaldpayne
V000133,0.219,Jefferson Van Drew,1953-02-23,Republican,,
H001084,0.936,Yvette Herrell,1964-03-16,Republican,RepHerrell,repherrell
L000273,-0.438,Teresa Leger Fernandez,1959-07-01,Democratic,RepTeresaLF,repteresalf
S001218,-0.428,Melanie A. Stansbury,1979-01-31,Democratic,,
H001038,-0.347,Brian Higgins,1959-10-06,Democratic,RepBrianHiggins,repbrianhiggins
C001067,-0.613,Yvette D. Clarke,1964-11-21,Democratic,RepYvetteClarke,repyvetteclarke
T000469,-0.42,Paul Tonko,1949-06-18,Democratic,RepPaulTonko,reppaultonko
R000585,0.274,Tom Reed,1971-11-18,Republican,TomReedNY23,tomreedny23
M001188,-0.376,Grace Meng,1975-10-01,Democratic,RepGraceMeng,repgracemeng
J000294,-0.489,Hakeem S. Jeffries,1970-08-04,Democratic,RepJeffries,repjeffries
M001185,-0.238,Sean Patrick Maloney,1966-07-30,Democratic,RepSeanMaloney,repseanmaloney
Z000017,0.396,Lee M. Zeldin,1980-01-30,Republican,RepLeeZeldin,repleezeldin
R000602,-0.287,Kathleen M. Rice,1965-02-15,Democratic,RepKathleenRice,repkathleenrice
S001196,0.24,Elise M. Stefanik,1984-07-02,Republican,RepStefanik,repstefanik
K000386,0.195,John Katko,1962-11-09,Republican,RepJohnKatko,repjohnkatko
E000297,-0.616,Adriano Espaillat,1954-09-27,Democratic,RepEspaillat,repespaillat
S001201,-0.215,Thomas R. Suozzi,1962-08-31,Democratic,RepTomSuozzi,reptomsuozzi
T000478,0.323,Claudia Tenney,1961-02-04,Republican,RepTenney,reptenney
M001206,-0.338,Joseph D. Morelle,1957-04-29,Democratic,RepJoeMorelle,repjoemorelle
D000630,-0.231,Antonio Delgado,1977-01-19,Democratic,repdelgado,repdelgado
O000172,-0.239,Alexandria Ocasio-Cortez,1989-10-13,Democratic,RepAOC,repaoc
J000020,0.331,Chris Jacobs,1966-11-28,Republican,,
B001223,-0.317,Jamaal Bowman,1976-04-01,Democratic,RepBowman,repbowman
G000597,0.27,Andrew R. Garbarino,1984-09-27,Republican,RepGarbarino,repgarbarino
J000306,-0.514,Mondaire Jones,1987-05-18,Democratic,RepMondaire,repmondaire
M000317,0.261,Nicole Malliotakis,1980-11-11,Republican,RepMalliotakis,repmalliotakis
T000486,-0.536,Ritchie Torres,1988-03-12,Democratic,RepRitchie,repritchie
N000002,-0.509,Jerrold Nadler,1947-06-13,Democratic,RepJerryNadler,repjerrynadler
V000081,-0.547,Nydia M. Velázquez,1953-03-28,Democratic,NydiaVelazquez,nydiavelazquez
M000087,-0.387,Carolyn B. Maloney,1946-02-19,Democratic,RepMaloney,repmaloney
M001137,-0.414,Gregory W. Meeks,1953-09-25,Democratic,RepGregoryMeeks,repgregorymeeks
P000523,-0.343,David E. Price,1940-08-17,Democratic,RepDavidEPrice,repdavideprice
B001251,-0.403,G. K. Butterfield,1947-04-27,Democratic,GKButterfield,gkbutterfield
F000450,0.628,Virginia Foxx,1943-06-29,Republican,VirginiaFoxx,virginiafoxx
M001156,0.545,Patrick T. McHenry,1975-10-22,Republican,PatrickMcHenry,patrickmchenry
H001067,0.568,Richard Hudson,1971-11-04,Republican,RepRichHudson,reprichhudson
R000603,0.573,David Rouzer,1972-02-16,Republican,RepDavidRouzer,repdavidrouzer
A000370,-0.465,Alma S. Adams,1946-05-27,Democratic,RepAdams,repadams
B001305,0.678,Ted Budd,1971-10-21,Republican,RepTedBudd,reptedbudd
B001311,0.761,Dan Bishop,1964-07-01,Republican,RepDanBishop,repdanbishop
M001210,0.484,Gregory F. Murphy,1963-03-05,Republican,RepGregMurphy,repgregmurphy
C001104,0.513,Madison Cawthorn,1995-08-01,Republican,RepCawthorn,repcawthorn
M001135,-0.332,Kathy E. Manning,1956-12-03,Democratic,RepKManning,repkmanning
R000305,-0.314,Deborah K. Ross,1963-06-20,Democratic,RepDeborahRoss,repdeborahross
A000377,0.482,Kelly Armstrong,1976-10-08,Republican,RepArmstrongND,reparmstrongnd
K000009,-0.35,Marcy Kaptur,1946-06-17,Democratic,RepMarcyKaptur,repmarcykaptur
T000463,0.275,Michael R. Turner,1960-01-11,Republican,RepMikeTurner,repmiketurner
R000577,-0.402,Tim Ryan,1973-07-16,Democratic,RepTimRyan,reptimryan
J000289,0.718,Jim Jordan,1964-02-17,Republican,Jim_Jordan,jim_jordan
L000566,0.516,Robert E. Latta,1956-04-18,Republican,BobLatta,boblatta
J000292,0.427,Bill Johnson,1954-11-10,Republican,RepBillJohnson,repbilljohnson
S001187,0.3,Steve Stivers,1965-03-24,Republican,RepSteveStivers,repstevestivers
G000563,0.477,Bob Gibbs,1954-06-14,Republican,RepBobGibbs,repbobgibbs
W000815,0.544,Brad R. Wenstrup,1958-06-17,Republican,RepBradWenstrup,repbradwenstrup
B001281,-0.433,Joyce Beatty,1950-03-12,Democratic,RepBeatty,repbeatty
J000295,0.263,David P. Joyce,1957-03-17,Republican,RepDaveJoyce,repdavejoyce
D000626,0.683,Warren Davidson,1970-03-01,Republican,WarrenDavidson,warrendavidson
B001306,0.418,Troy Balderson,1962-01-16,Republican,RepBalderson,repbalderson
G000588,0.271,Anthony Gonzalez,1984-09-19,Republican,RepAGonzalez,repagonzalez
C000266,0.564,Steve Chabot,1953-01-22,Republican,RepSteveChabot,repstevechabot
C001053,0.332,Tom Cole,1949-04-28,Republican,TomColeOK04,tomcoleok04
